Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
Newag SA,13.5,-3.57,14.2,13.4,14.6,68291,959472,2019-01-04
North Coast SA,5,14.16,4.57,4.57,5.02,1898,8770,2019-01-04
Novaturas AB,34.6,4.22,34.6,34.6,34.6,42,1453,2019-01-04
Novita SA,45.5,-3.19,47,45,47,8027,369118,2019-01-04
NTT System SA,2.38,0,2.38,2.38,2.38,10,24,2019-01-04
Octava SA,0.82,1.23,0.81,0.81,0.86,889,731,2019-01-04
Odlewnie Polskie SA,3.22,0.63,3.24,3.22,3.24,595,1916,2019-01-04
OEX SA,17.6,-1.12,17,17,18,1640,28654,2019-01-04
OncoArendi Therapeutics SA,16.14,8.32,14.9,14.9,16.39,2778,43316,2019-01-04
Open Finance SA,0.25,8.7,0.25,0.25,0.25,961741,240435,2019-01-04
Oponeo.pl SA,20.6,0,21,20.3,21,1778,36448,2019-01-04
OPTeam SA,5.15,0,0,0,0,0,0,2019-01-03
Orange Polska SA,5.2,3.17,5.03,5.03,5.2,2561416,13183792,2019-01-04
Orbis SA,91,-0.22,92,91,92,955,87149,2019-01-04
Orco Property Group SA,1.48,0,0,0,0,0,0,2019-01-03
Orion Investment SA,7.35,-6.37,7.85,7.35,7.85,460,3388,2019-01-04
Orzeł Biały SA,10.4,0,10.4,10.4,10.7,145,1522,2019-01-04
OT Logistics SA,7.5,25,6.1,6.1,7.5,33767,233800,2019-01-04
Ovostar Union NV,109,0,0,0,0,0,0,2019-01-03
PA Nova SA,15.6,9.47,14.8,14.8,15.6,350,5452,2019-01-04
Pamapol SA,1.05,-5.41,1.09,1.05,1.09,14020,14723,2019-01-04
Patentus SA,0.8,0,0.79,0.79,0.8,6290,5022,2019-01-04
PBG SA,0.09,0,0.1,0.09,0.1,32695,3117,2019-01-04
PBS Finanse SA,0.23,0,0,0,0,0,0,2019-01-03
PC Guard SA,1.17,0,0,0,0,0,0,2019-01-03
PCC Exol SA,1.54,0,0,0,0,0,0,2019-01-03
PCC Rokita SA,80,-1.23,81.6,79.8,81.8,6064,487240,2019-01-04
Peixin International Group NV,0.85,8.97,0.78,0.78,0.85,4117,3377,2019-01-04
Pekabex SA,12.8,0,12.8,12.8,12.9,1548,19836,2019-01-04
Pepees SA,1.25,4.17,1.25,1.25,1.25,1,1,2019-01-04
Pfleiderer Group SA,33.5,-1.47,34,32.2,34,7417,245563,2019-01-04
PGE SA,10.15,0.4,10.19,10.13,10.33,1044218,10661463,2019-01-04
PGNiG SA,6.92,-0.14,6.94,6.86,6.96,3260847,22553858,2019-01-04
PGO SA,2.2,-4.35,2.3,2.2,2.3,65,145,2019-01-04
PGS Software,8.46,-3.86,8.6,8.24,8.68,22549,191211,2019-01-04
PKN Orlen SA,103.65,1.87,103,101.85,103.9,691684,71201495,2019-01-04
PKO BP SA,40.45,2.22,39.95,39.83,40.86,2236623,90393469,2019-01-04
PKP Cargo SA,44.45,1.02,44.2,44,44.8,5295,235351,2019-01-04
Plast-Box SA,2.09,1.46,2.1,2.03,2.1,7,14,2019-01-04
Platynowe Inwestycje SE,0.51,0,0.44,0.44,0.51,1386,680,2019-01-04
Play Communications SA,20.96,0.67,20.82,20.66,21.06,269245,5613942,2019-01-04
PlayWay SA,142,4.03,138.5,136.5,142,9382,1315949,2019-01-04
Plaza Centers NV,4.19,18.36,3.53,3.4,4.26,49387,199333,2019-01-04
PME SA,0.87,0,0,0,0,0,0,2019-01-03
PMPG Polskie Media SA,2.72,4.62,2.6,2.6,2.72,1342,3577,2019-01-04
Polenergia SA,20.7,-0.48,20.8,20.4,20.8,1884,38655,2019-01-04
Police SA,13.5,0.75,13.5,13.5,13.5,180,2430,2019-01-04
Polimex-Mostostal SA,3.03,6.69,2.85,2.85,3.05,711859,2114849,2019-01-04
Polnord SA,8.3,0.12,8.21,8.01,8.4,18143,147627,2019-01-04
Polski Bank Komórek Macierzystych SA,59.8,1.01,60,57.4,60,429,24876,2019-01-04
Polski Holding Nieruchomości SA,9.74,6.1,9.18,9,9.74,3477,32094,2019-01-04
Polwax SA,7,0,6.98,6.98,7,17955,125658,2019-01-04
Pozbud T&R SA,2.2,0,2.31,2.15,2.31,9962,21859,2019-01-04
Pragma Faktoring SA,17,0,17,17,17,5,85,2019-01-04
Pragma Inkaso SA,10.2,0,0,0,0,0,0,2019-01-03
Prairie Mining Ltd.,1.14,3.64,1.1,1.1,1.15,132752,149654,2019-01-04
Prima Moda SA,2.78,0,0,0,0,0,0,2019-01-03
Prime Car Management SA,13.1,-0.76,13.1,13.1,13.2,7252,95266,2019-01-04
Primetech SA,1.37,1.48,1.35,1.34,1.37,3658,4952,2019-01-04
Private Equity Managers SA,24.3,-0.82,24.5,23.8,24.5,776,18751,2019-01-04
Procad SA,1.52,0,1.52,1.51,1.52,2515,3798,2019-01-04
Prochem SA,18.15,-1.89,18.3,17.15,18.3,456,7849,2019-01-04
Projprzem Makrum SA,23.3,1.3,23.5,22.8,23.5,439,10077,2019-01-04
Protektor SA,4.5,-0.22,4.51,4.37,4.51,79,346,2019-01-04
Próchnik SA w upadłości,0.02,100,0.02,0.02,0.02,1393536,27871,2019-01-04
Puławy SA,66,3.13,66.8,64.6,66.8,523,34293,2019-01-04
PZ Cormay SA,1.16,2.65,1.13,1.12,1.2,297018,345139,2019-01-04
PZU SA,44.37,2.8,43.41,43.35,44.37,1263522,55656166,2019-01-04
Quantum Software SA,15.2,-1.94,15.2,15.2,15.2,44,669,2019-01-04
Quercus TFI SA,2.3,-1.29,2.3,2.3,2.3,8445,19424,2019-01-04
Qumak SA,0.3,3.45,0.29,0.28,0.31,105465,31190,2019-01-04
R22 SA,14.84,0.13,14.82,14.82,14.84,14,208,2019-01-04
Radpol SA,1.08,-0.92,1.08,1.07,1.1,28608,31048,2019-01-04
Rafako SA,1.7,-2.86,1.75,1.7,1.75,185571,322489,2019-01-04
Rafamet SA,9.86,0,0,0,0,0,0,2019-01-03
